exercise_id,name,description,level,instructions,equipment_needed,overloading,power_strength_supplement,isolation_compound_accessory,push_pull_legs_core,vertical_horizontal_rotational,stretch,video_url
110,Deceleration Lunge Cable/Band Row,"Combination of a lunge and row, focusing on back and leg muscles with deceleration control.",intermediate,"1. Get into the starting position for Deceleration Lunge Cable/Band Row.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,1,supplement,accessory,pull,horizontal,0,
111,Inverted Row,Bodyweight row where you pull yourself toward a bar while lying under it.,Beginner,"1. Get into the starting position for Inverted Row.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,0,strength,accessory,pull,horizontal,0,
112,1/2 Kneeling Lat Pull,A lat pull variation performed while kneeling on 1 knee,intermediate,"1. Get into the starting position for 1/2 Kneeling Lat Pull.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,1,strength,accessory,pull,vertical,0,
113,Banded Row,Resistance band version of the row targeting the back and biceps.,Beginner,"1. Get into the starting position for Banded Row.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,1,strength,accessory,pull,horizontal,0,
114,Band Tears,Resistance band exercise where you pull the band apart to strengthen the rear deltoids and upper back.,Beginner,"1. Get into the starting position for Band Tears.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,1,supplement,accessory,pull,,0,
115,Bicep Curls,"Classic arm exercise performed with dumbbells, barbells, or bands, targeting the biceps.",Beginner,"1. Get into the starting position for Bicep Curls.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,1,supplement,isolation,pull,,0,
116,Banded Tricep Extensions,Tricep exercise using a resistance band to extend the arms overhead or behind the body.,Beginner,"1. Get into the starting position for Banded Tricep Extensions.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,1,supplement,isolation,push,,0,
117,TRX Face Pull,Suspension trainer exercise pulling toward the face to target rear delts and upper back.,intermediate,"1. Get into the starting position for TRX Face Pull.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,0,supplement,accessory,pull,horizontal,0,
118,TRX Bicep Curl,Suspension trainer variation of a bicep curl using body weight as resistance.,intermediate,"1. Get into the starting position for TRX Bicep Curl.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,0,supplement,isolation,pull,,0,
119,Chest Supported Incline Row,"Row performed on an incline bench, reducing strain on the lower back while targeting the upper back.",Beginner,"1. Get into the starting position for Chest Supported Incline Row.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,1,strength,accessory,pull,horizontal,0,
120,Farmers Carry,A grip and core strength exercise where heavy weights are carried over a distance.,Beginner,"1. Get into the starting position for Farmers Carry.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,1,supplement,accessory,core,,,
121,Overhead Carry,A stability-focused exercise carrying weights overhead to engage the shoulders and core.,intermediate,"1. Get into the starting position for Overhead Carry.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,1,supplement,accessory,core,,,
122,Suitcase Carry,unilateral carry holding a weight on one side to challenge core stability and grip strength.,intermediate,"1. Get into the starting position for Suitcase Carry.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,1,supplement,accessory,core,,,
123,Offset Carry,unilateral carry holding a weight on one side to challenge core stability and grip strength.,intermediate,"1. Get into the starting position for Offset Carry.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,1,supplement,accessory,core,,,
124,Offset Hex Bar Hold,static hold with uneven loads on a hex bar to build grip and core endurance.,advanced,"1. Get into the starting position for Offset Hex Bar Hold.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,1,supplement,accessory,core,,,
125,Carry Marches,dynamic carry variation incorporating high knee marches for added core and hip engagement.,Beginner,"1. Get into the starting position for Carry Marches.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,1,supplement,accessory,core,,,
126,Seated Arm Swings,seated exercise swinging arms to improve shoulder mobility and endurance.,intermediate,"1. Get into the starting position for Seated Arm Swings.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",0,0,power,accessory,core,,,
127,Sprinter Starts,explosive movement mimicking the start of a sprint to build power and acceleration.,intermediate,"1. Get into the starting position for Sprinter Starts.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",0,0,power,accessory,legs,,,
128,MB Slams,A full-body explosive exercise slamming a medicine ball into the ground.,Beginner,"1. Get into the starting position for MB Slams.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,1,power,accessory,core,,,
129,Rainbow Slams,A dynamic slam variation moving the medicine ball in an arc to engage rotational power.,intermediate,"1. Get into the starting position for Rainbow Slams.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,1,power,accessory,core,rotational,,
130,Quick MB Slams,"Rapid, explosive medicine ball slams to build power and endurance.",intermediate,"1. Get into the starting position for Quick MB Slams.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,1,power,accessory,core,,,
131,Transverse Lunge Slams,combination of a lateral lunge and medicine ball slam for rotational strength.,intermediate,"1. Get into the starting position for Transverse Lunge Slams.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,1,power,accessory,core,rotational,,
132,Rotational MB Toss,rotational power exercise tossing a medicine ball to the side.,Beginner,"1. Get into the starting position for Rotational MB Toss.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,1,power,accessory,core,rotational,,
133,MB Keg Toss,explosive overhead toss of a medicine ball or keg to build power.,Beginner,"1. Get into the starting position for MB Keg Toss.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,1,power,accessory,legs,,,
134,Kneeling Rainbow Slams,kneeling variation of rainbow slams to isolate upper body and core power.,Beginner,"1. Get into the starting position for Kneeling Rainbow Slams.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,1,power,accessory,core,rotational,,
135,MB Chest Pass,explosive chest pass with a medicine ball to build upper body power.,Beginner,"1. Get into the starting position for MB Chest Pass.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,1,power,accessory,push,horizontal,,
136,Wall Ball,full-body exercise throwing a medicine ball against a wall from a squat position.,Beginner,"1. Get into the starting position for Wall Ball.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,1,power,accessory,legs,vertical,,
137,Squat Jumps,plyometric jump from a squat position to build explosive lower-body power.,Beginner,"1. Get into the starting position for Squat Jumps.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",0,0,power,accessory,legs,,,
138,Box Jumps,explosive jump onto a box to develop lower-body strength and power.,Beginner,"1. Get into the starting position for Box Jumps.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,0,power,accessory,legs,,,
139,SL Box Jump,"single-leg box jump to improve balance, stability, and unilateral power.",intermediate,"1. Get into the starting position for SL Box Jump.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,0,power,accessory,legs,,,
140,Depth Jump,Depth Jump is an effective exercise for targeting the relevant muscle groups.,advanced,"1. Get into the starting position for Depth Jump.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,0,power,accessory,legs,,,
141,Drop Jump,Drop Jump is an effective exercise for targeting the relevant muscle groups.,advanced,"1. Get into the starting position for Drop Jump.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,0,power,accessory,legs,,,
142,Band Assisted Jumps,Band Assisted Jumps is an effective exercise for targeting the relevant muscle groups.,advanced,"1. Get into the starting position for Band Assisted Jumps.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,0,power,accessory,legs,,,
143,Hex Bar Jumps,Hex Bar Jumps is an effective exercise for targeting the relevant muscle groups.,advanced,"1. Get into the starting position for Hex Bar Jumps.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,1,power,accessory,legs,,,
144,Broad Jumps,Broad Jumps is an effective exercise for targeting the relevant muscle groups.,intermediate,"1. Get into the starting position for Broad Jumps.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",0,0,power,accessory,legs,,,
145,Tuck Jumps,Tuck Jumps is an effective exercise for targeting the relevant muscle groups.,Beginner,"1. Get into the starting position for Tuck Jumps.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",0,0,power,accessory,legs,,,
146,Split Jumps,Split Jumps is an effective exercise for targeting the relevant muscle groups.,Beginner,"1. Get into the starting position for Split Jumps.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",0,0,power,accessory,legs,,,
147,Leg Lowers,Leg Lowers is an effective exercise for targeting the relevant muscle groups.,Beginner,"1. Get into the starting position for Leg Lowers.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",0,0,supplement,accessory,core,,,
148,Swiss Ball Crunches,Swiss Ball Crunches is an effective exercise for targeting the relevant muscle groups.,Beginner,"1. Get into the starting position for Swiss Ball Crunches.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,0,supplement,isolation,core,,,
149,Swiss Ball Rollouts,Swiss Ball Rollouts is an effective exercise for targeting the relevant muscle groups.,intermediate,"1. Get into the starting position for Swiss Ball Rollouts.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,0,supplement,isolation,core,,,
150,Plank,Plank is an effective exercise for targeting the relevant muscle groups.,Beginner,"1. Get into the starting position for Plank.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",0,0,supplement,isolation,core,,,
151,Plank on Swiss,Plank on Swiss is an effective exercise for targeting the relevant muscle groups.,intermediate,"1. Get into the starting position for Plank on Swiss.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,0,supplement,isolation,core,,,
152,Spiderman Plank,Spiderman Plank is an effective exercise for targeting the relevant muscle groups.,intermediate,"1. Get into the starting position for Spiderman Plank.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",0,0,supplement,isolation,core,,,
153,Anti Rotation Hold,Anti Rotation Hold is an effective exercise for targeting the relevant muscle groups.,Beginner,"1. Get into the starting position for Anti Rotation Hold.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,1,supplement,isolation,core,,,
154,Pallof Press,Pallof Press is an effective exercise for targeting the relevant muscle groups.,intermediate,"1. Get into the starting position for Pallof Press.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,1,supplement,accessory,core,horizontal,,
155,Pallof Walk,Pallof Walk is an effective exercise for targeting the relevant muscle groups.,intermediate,"1. Get into the starting position for Pallof Walk.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,1,supplement,accessory,core,,,
156,Woodchop,Woodchop is an effective exercise for targeting the relevant muscle groups.,intermediate,"1. Get into the starting position for Woodchop.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,1,supplement,accessory,core,,,
157,Cable Twist,Cable Twist is an effective exercise for targeting the relevant muscle groups.,intermediate,"1. Get into the starting position for Cable Twist.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,1,supplement,accessory,core,,,
158,Dead Bug w/ Band Hold,Dead Bug w/ Band Hold is an effective exercise for targeting the relevant muscle groups.,Beginner,"1. Get into the starting position for Dead Bug w/ Band Hold.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,1,supplement,isolation,core,,,
159,Hollow Hold w/ band,Hollow Hold w/ band is an effective exercise for targeting the relevant muscle groups.,Beginner,"1. Get into the starting position for Hollow Hold w/ band.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,1,supplement,isolation,core,,,
160,Side Plank,Side Plank is an effective exercise for targeting the relevant muscle groups.,Beginner,"1. Get into the starting position for Side Plank.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",0,0,supplement,isolation,core,,,
161,Bicycles,Bicycles is an effective exercise for targeting the relevant muscle groups.,Beginner,"1. Get into the starting position for Bicycles.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",0,0,supplement,isolation,core,,,
162,Stepmil,Stepmil is an effective exercise for targeting the relevant muscle groups.,Intermediate,"1. Get into the starting position for Stepmil.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,0,supplement,isolation,core,,,
163,Standing Hamstring Stretch,A stretch to loosen up your hamstrings and lower back.,Beginner,1. Stand with feet together. 2. Hinge at your hips and reach for your toes. 3. Hold for 20-30 seconds.,0,0,,,,,1,
164,Seated Forward Bend,A deep stretch for the hamstrings and lower back.,Intermediate,1. Sit with legs extended straight. 2. Reach forward toward your toes. 3. Hold for 20-30 seconds.,0,0,,,,,1,
165,Cat-Cow Stretch,A yoga movement that increases flexibility in the spine.,Beginner,"1. Start on hands and knees. 2. Inhale, arch your back (Cow). 3. Exhale, round your spine (Cat). 4. Repeat for 30 seconds.",0,0,,,,,1,
166,Child’s Pose,A resting yoga pose that stretches the back and hips.,Beginner,1. Sit back on your heels. 2. Extend arms forward and lower your chest. 3. Hold for 30 seconds.,0,0,,,,,1,
167,Butterfly Stretch,A stretch to improve flexibility in the groin and inner thighs.,Beginner,1. Sit with soles of feet together. 2. Hold feet and gently press knees downward. 3. Hold for 20-30 seconds.,0,0,,,,,1,
168,Quad Stretch,A standing stretch that targets the quadriceps.,Beginner,1. Stand tall. 2. Grab your ankle and pull it toward your glutes. 3. Hold for 20-30 seconds per leg.,0,0,,,,,1,
169,Triceps Stretch,A stretch for the triceps and shoulders.,Beginner,1. Reach one arm overhead. 2. Bend the elbow and touch your back. 3. Use the other hand to press gently. 4. Hold for 20-30 seconds per side.,0,0,,,,,1,
170,Torso Twist Stretch,A stretch for the lower back and obliques.,Intermediate,"1. Sit cross-legged. 2. Twist your torso to one side, placing one hand on the opposite knee. 3. Hold for 20-30 seconds per side.",0,0,,,,,1,
171,Standing Side Stretch,A full-body stretch that targets the obliques and shoulders.,Beginner,1. Stand with feet hip-width apart. 2. Reach one arm overhead and lean to the side. 3. Hold for 20-30 seconds per side.,0,0,,,,,1,
172,Downward Dog,"A yoga pose that stretches the hamstrings, calves, and shoulders.",Intermediate,1. Start in a high plank. 2. Lift hips toward the ceiling. 3. Keep heels pushing down and arms extended. 4. Hold for 30 seconds.,0,0,,,,,1,
173,Hip Flexor Stretch,A stretch to release tight hip flexors.,Intermediate,1. Kneel on one knee with the other foot forward. 2. Shift weight forward to stretch the hip. 3. Hold for 20-30 seconds per side.,0,0,,,,,1,
174,Neck Stretch,A gentle stretch for the neck and shoulders.,Beginner,"1. Sit or stand tall. 2. Tilt your head to one side, bringing your ear toward your shoulder. 3. Hold for 20-30 seconds per side.",0,0,,,,,1,
175,Chest Opener Stretch,A stretch to open up the chest and shoulders.,Beginner,1. Clasp hands behind your back. 2. Lift your arms slightly while opening your chest. 3. Hold for 20-30 seconds.,0,0,,,,,1,
176,Figure-Four Stretch,A deep glute and hip stretch.,Intermediate,1. Lie on your back and cross one ankle over the opposite knee. 2. Pull the supporting leg toward your chest. 3. Hold for 20-30 seconds per side.,0,0,,,,,1,
177,Seated Spinal Twist,A stretch to improve spinal mobility.,Advanced,1. Sit with one leg straight and the other crossed over. 2. Twist your torso toward the bent knee. 3. Hold for 20-30 seconds per side.,0,0,,,,,1,
178,Hip Abduction Machine,Strengthens the muscles on the outside of your hips,Beginner,,1,0,,,,,,
179,Hip Abbduction Machine,Strengthens the muscles used to move your legs away from your body,Beginner,,1,0,,,,,,
